epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.7166,0.75322,1.8577,1.10106,0.74866,0.86571,0.90357,0.67436,0.84226,1.12386,1.06838,0.000553757,0.000553757,0.000553757
2,123.596,0.83474,0.95598,1.13932,0.84198,0.87971,0.93694,0.71905,0.82783,0.81945,1.01673,0.000999591,0.000999591,0.000999591
3,174.791,0.83093,0.68188,1.12992,0.84483,0.84396,0.87501,0.5659,1.18191,0.97773,1.33616,0.0013354,0.0013354,0.0013354
4,224.589,0.78306,0.57396,1.10076,0.96559,0.93116,0.97266,0.77925,0.74455,0.54028,0.95301,0.0011719,0.0011719,0.0011719
5,273.569,0.7212,0.4975,1.06034,0.95438,0.96308,0.98485,0.83437,0.65563,0.41742,0.905,0.00100687,0.00100687,0.00100687
6,322.64,0.67304,0.44209,1.02689,0.95988,0.97111,0.98975,0.85187,0.59069,0.368,0.87076,0.000841835,0.000841835,0.000841835
7,372.398,0.62248,0.39296,1.00549,0.95855,0.97633,0.98937,0.85559,0.57695,0.35557,0.86949,0.000676802,0.000676802,0.000676802
8,421.738,0.59247,0.36544,0.98066,0.95563,0.98977,0.99125,0.87233,0.5283,0.32531,0.84255,0.000511769,0.000511769,0.000511769
9,470.383,0.56164,0.34084,0.97047,0.97253,0.97939,0.99166,0.88576,0.50701,0.29407,0.82696,0.000346736,0.000346736,0.000346736
10,520.222,0.52119,0.31564,0.95101,0.97175,0.98066,0.99235,0.89157,0.48598,0.27604,0.82253,0.000181703,0.000181703,0.000181703
