epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.7779,0.79215,1.76425,1.12398,0.88125,0.90029,0.93114,0.68723,0.90132,0.93377,1.11603,0.000553757,0.000553757,0.000553757
2,154.712,0.9111,0.95448,1.1772,0.90487,0.9502,0.95701,0.70962,0.91601,0.68167,1.06834,0.000999591,0.000999591,0.000999591
3,222.28,0.87448,0.69138,1.15863,0.8694,0.87995,0.90245,0.70201,0.82405,0.73444,1.0143,0.0013354,0.0013354,0.0013354
4,289.211,0.82448,0.59776,1.12296,0.96242,0.9354,0.96735,0.79195,0.71807,0.5012,0.94354,0.0011719,0.0011719,0.0011719
5,356.562,0.74566,0.51613,1.07335,0.96252,0.97405,0.98896,0.8062,0.74599,0.41736,0.94595,0.00100687,0.00100687,0.00100687
6,424.476,0.70315,0.45346,1.03735,0.97591,0.9613,0.98763,0.83627,0.64113,0.40086,0.89608,0.000841835,0.000841835,0.000841835
7,491.362,0.65302,0.41618,1.01818,0.96274,0.94462,0.98573,0.84981,0.59248,0.39582,0.87978,0.000676802,0.000676802,0.000676802
8,558.34,0.60824,0.38037,0.98995,0.97626,0.97137,0.99001,0.87577,0.54068,0.32822,0.84306,0.000511769,0.000511769,0.000511769
9,625.777,0.57829,0.34963,0.97835,0.9782,0.95652,0.99002,0.8788,0.51615,0.30957,0.83523,0.000346736,0.000346736,0.000346736
10,692.647,0.53256,0.32279,0.95867,0.97161,0.97588,0.99102,0.88874,0.49107,0.28417,0.82462,0.000181703,0.000181703,0.000181703
